,geometry,centroid,centroid_x,centroid_y,zone_label
244,"POLYGON ((-73.98285692176978 40.66745721719116, -73.97280207433913 40.667368197193035, -73.97268456788794 40.675024404863436, -73.98274056505845 40.67511344877189, -73.98285692176978 40.66745721719116))",POINT (-73.97777103265199 40.671240889982684),-73.97777103265199,40.671240889982684,59
245,"POLYGON ((-73.98274056505845 40.67511344877189, -73.97268456788794 40.675024404863436, -73.9725670162733 40.68268060206754, -73.98262416362539 40.68276966989173, -73.98274056505845 40.67511344877189))",POINT (-73.9776540785989 40.678897104396036),-73.9776540785989,40.678897104396036,60
246,"POLYGON ((-73.98262416362539 40.68276966989173, -73.9725670162733 40.68268060206754, -73.97244941947554 40.6903367888048, -73.98250771745113 40.69042588055013, -73.98262416362539 40.68276966989173))",POINT (-73.97753707959339 40.68655330834553),-73.97753707959339,40.68655330834553,61
247,"POLYGON ((-73.98250771745113 40.69042588055013, -73.97244941947554 40.6903367888048, -73.972331777475 40.69799296507469, -73.98239122651623 40.69808208074657, -73.98250771745113 40.69042588055013))",POINT (-73.97742003561596 40.69420950183063),-73.97742003561596,40.69420950183063,62
248,"POLYGON ((-73.98239122651623 40.69808208074657, -73.972331777475 40.69799296507469, -73.97221409025202 40.70564913087668, -73.98227469080119 40.705738270480516, -73.98239122651623 40.69808208074657))",POINT (-73.97730294664703 40.70186568485081),-73.97730294664703,40.70186568485081,63
250,"POLYGON ((-73.98215811028649 40.71339444975145, -73.9720963577869 40.713305286210236, -73.97197858005993 40.720961431074805, -73.98204148495266 40.721050618558806, -73.98215811028649 40.71339444975145))",POINT (-73.97706863365627 40.71717801949423),-73.97706863365627,40.71717801949423,64
251,"POLYGON ((-73.98204148495266 40.721050618558806, -73.97197858005993 40.720961431074805, -73.97186075705137 40.72861756546988, -73.98192481478016 40.7287067769021, -73.98204148495266 40.721050618558806))",POINT (-73.97695140959526 40.72483417111643),-73.97695140959526,40.72483417111643,65
252,"POLYGON ((-73.98192481478016 40.7287067769021, -73.97186075705137 40.72861756546988, -73.97174288874155 40.73627368939492, -73.98180809974944 40.736362924780785, -73.98192481478016 40.7287067769021))",POINT (-73.9768341404643 40.73249031227157),-73.9768341404643,40.73249031227157,66
253,"POLYGON ((-73.98180809974944 40.736362924780785, -73.97174288874155 40.73627368939492, -73.9716249751107 40.743929802849394, -73.98169133984096 40.74401906219432, -73.98180809974944 40.736362924780785))",POINT (-73.97671682624375 40.74014644295913),-73.97671682624375,40.74014644295913,67
254,"POLYGON ((-73.98169133984096 40.74401906219432, -73.9716249751107 40.743929802849394, -73.97150701613907 40.751585905832776, -73.98157453503518 40.75167518914219, -73.98169133984096 40.74401906219432))",POINT (-73.976599466914 40.747802563178574),-73.976599466914,40.747802563178574,68
255,"POLYGON ((-73.98157453503518 40.75167518914219, -73.97150701613907 40.751585905832776, -73.97138901180689 40.75924199834454, -73.98145768531252 40.75933130562389, -73.98157453503518 40.75167518914219))",POINT (-73.97648206245537 40.75545867292939),-73.97648206245537,40.75545867292939,69
256,"POLYGON ((-73.98145768531252 40.75933130562389, -73.97138901180689 40.75924199834454, -73.9712709620944 40.76689808038414, -73.98134079065338 40.76698741163884, -73.98145768531252 40.75933130562389))",POINT (-73.97636461284817 40.763114772211026),-73.97636461284817,40.763114772211026,70
257,"POLYGON ((-73.98134079065338 40.76698741163884, -73.9712709620944 40.76689808038414, -73.97115286698178 40.774554151951065, -73.98122385103817 40.77464350718655, -73.98134079065338 40.76698741163884))",POINT (-73.97624711807275 40.77077086102297),-73.97624711807275,40.77077086102297,71
258,"POLYGON ((-73.98122385103817 40.77464350718655, -73.97115286698178 40.774554151951065, -73.97103472644925 40.782210213044785, -73.98110686644729 40.78229959226651, -73.98122385103817 40.77464350718655))",POINT (-73.97612957810937 40.77842693936471),-73.97612957810937,40.77842693936471,72
259,"POLYGON ((-73.98110686644729 40.78229959226651, -73.97103472644925 40.782210213044785, -73.97091654047698 40.78986626366477, -73.98098983686111 40.78995566687817, -73.98110686644729 40.78229959226651))",POINT (-73.97601199293834 40.78608300723568),-73.97601199293834,40.78608300723568,73
260,"POLYGON ((-73.98098983686111 40.78995566687817, -73.97091654047698 40.78986626366477, -73.97079830904515 40.7975223038105, -73.98087276226 40.79761173102102, -73.98098983686111 40.78995566687817))",POINT (-73.97589436253992 40.79373906463539),-73.97589436253992,40.79373906463539,74
270,"POLYGON ((-73.97327164890189 40.636743261859124, -73.96322144108251 40.636653462977165, -73.96310296713365 40.64430968838382, -73.97315432290826 40.64439951138937, -73.97327164890189 40.636743261859124))",POINT (-73.96818759540088 40.64052655405124),-73.96818759540088,40.64052655405124,75
271,"POLYGON ((-73.97315432290826 40.64439951138937, -73.96310296713365 40.64430968838382, -73.96298444765885 40.65196590332087, -73.97303695182967 40.65205575045547, -73.97315432290826 40.64439951138937))",POINT (-73.96806967277634 40.648182786305824),-73.96806967277634,40.648182786305824,76
272,"POLYGON ((-73.97303695182967 40.65205575045547, -73.96298444765885 40.65196590332087, -73.96286588263835 40.65962210778778, -73.9729195356465 40.659711979056866, -73.97303695182967 40.65205575045547))",POINT (-73.9679517048365 40.65583900809326),-73.9679517048365,40.65583900809326,77
273,"POLYGON ((-73.9729195356465 40.659711979056866, -73.96286588263835 40.65962210778778, -73.9627472720523 40.667278301784016, -73.97280207433913 40.667368197193035, -73.9729195356465 40.659711979056866))",POINT (-73.96783369156165 40.663495219413015),-73.96783369156165,40.663495219413015,78
274,"POLYGON ((-73.97280207433913 40.667368197193035, -73.9627472720523 40.667278301784016, -73.9626286158809 40.67493448530902, -73.97268456788794 40.675024404863436, -73.97280207433913 40.667368197193035))",POINT (-73.96771563293207 40.67115142026456),-73.96771563293207,40.67115142026456,79
275,"POLYGON ((-73.97268456788794 40.675024404863436, -73.9626286158809 40.67493448530902, -73.96250991410433 40.682590658362265, -73.9725670162733 40.68268060206754, -73.97268456788794 40.675024404863436))",POINT (-73.96759752892807 40.67880761064734),-73.96759752892807,40.67880761064734,80
276,"POLYGON ((-73.9725670162733 40.68268060206754, -73.96250991410433 40.682590658362265, -73.96239116670273 40.6902468209432, -73.97244941947554 40.6903367888048, -73.9725670162733 40.68268060206754))",POINT (-73.96747937952986 40.686463790560815),-73.96747937952986,40.686463790560815,81
277,"POLYGON ((-73.97244941947554 40.6903367888048, -73.96239116670273 40.6902468209432, -73.96227237365623 40.69790297305133, -73.972331777475 40.69799296507469, -73.97244941947554 40.6903367888048))",POINT (-73.96736118471765 40.694119960004464),-73.96736118471765,40.694119960004464,82
278,"POLYGON ((-73.972331777475 40.69799296507469, -73.96227237365623 40.69790297305133, -73.962153534945 40.705559114686075, -73.97221409025202 40.70564913087668, -73.972331777475 40.69799296507469))",POINT (-73.96724294447179 40.70177611897777),-73.96724294447179,40.70177611897777,83
279,"POLYGON ((-73.97221409025202 40.70564913087668, -73.962153534945 40.705559114686075, -73.96203465054913 40.71321524584692, -73.9720963577869 40.713305286210236, -73.97221409025202 40.70564913087668))",POINT (-73.96712465877242 40.70943226748016),-73.96712465877242,40.70943226748016,84
280,"POLYGON ((-73.9720963577869 40.713305286210236, -73.96203465054913 40.71321524584692, -73.96191572044873 40.72087136653331, -73.97197858005993 40.720961431074805, -73.9720963577869 40.713305286210236))",POINT (-73.96700632759975 40.7170884055111),-73.96700632759975,40.7170884055111,85
285,"POLYGON ((-73.97150701613907 40.751585905832776, -73.9614395426035 40.751495744523794, -73.9613203836816 40.75915181282999, -73.97138901180689 40.75924199834454, -73.97150701613907 40.751585905832776))",POINT (-73.96641398894347 40.755368938575685),-73.96641398894347,40.755368938575685,86
286,"POLYGON ((-73.97138901180689 40.75924199834454, -73.9613203836816 40.75915181282999, -73.96120117893553 40.76680787065852, -73.9712709620944 40.76689808038414, -73.97138901180689 40.75924199834454))",POINT (-73.96629538451475 40.76302501376684),-73.96629538451475,40.76302501376684,87
287,"POLYGON ((-73.9712709620944 40.76689808038414, -73.96120117893553 40.76680787065852, -73.9610819283453 40.7744639180089, -73.97115286698178 40.774554151951065, -73.9712709620944 40.76689808038414))",POINT (-73.96617673447383 40.77068107848285),-73.96617673447383,40.77068107848285,88
288,"POLYGON ((-73.97115286698178 40.774554151951065, -73.9610819283453 40.7744639180089, -73.96096263189092 40.78211995488057, -73.97103472644925 40.782210213044785, -73.97115286698178 40.774554151951065))",POINT (-73.96605803880081 40.77833713272317),-73.96605803880081,40.77833713272317,89
289,"POLYGON ((-73.97103472644925 40.782210213044785, -73.96096263189092 40.78211995488057, -73.9608432895524 40.78977598127302, -73.97091654047698 40.78986626366477, -73.97103472644925 40.782210213044785))",POINT (-73.9659392974758 40.785993176487274),-73.9659392974758,40.785993176487274,90
290,"POLYGON ((-73.97091654047698 40.78986626366477, -73.9608432895524 40.78977598127302, -73.96072390130969 40.79743199718569, -73.97079830904515 40.7975223038105, -73.97091654047698 40.78986626366477))",POINT (-73.9658205104789 40.79364920977465),-73.9658205104789,40.79364920977465,91
291,"POLYGON ((-73.97079830904515 40.7975223038105, -73.96072390130969 40.79743199718569, -73.96060446714279 40.805088002618106, -73.97068003213393 40.80517833348145, -73.97079830904515 40.7975223038105))",POINT (-73.96570167779018 40.80130523258475),-73.96570167779018,40.80130523258475,92
292,"POLYGON ((-73.97068003213393 40.80517833348145, -73.96060446714279 40.805088002618106, -73.96048498703162 40.81274399756968, -73.97056170972344 40.812834352677086, -73.97068003213393 40.80517833348145))",POINT (-73.96558279938967 40.80896124491706),-73.96558279938967,40.80896124491706,93
300,"POLYGON ((-73.96322144108251 40.636653462977165, -73.95317127876928 40.63656278963546, -73.95305165688497 40.644218990683676, -73.96310296713365 40.64430968838382, -73.96322144108251 40.636653462977165))",POINT (-73.95813683636572 40.64043630581826),-73.95813683636572,40.64043630581826,94
301,"POLYGON ((-73.96310296713365 40.64430968838382, -73.95305165688497 40.644218990683676, -73.95293198903377 40.65187518125678, -73.96298444765885 40.65196590332087, -73.96310296713365 40.64430968838382))",POINT (-73.95801776557538 40.64809251382909),-73.95801776557538,40.64809251382909,95
302,"POLYGON ((-73.96298444765885 40.65196590332087, -73.95293198903377 40.65187518125678, -73.95281227519571 40.65953136135425, -73.96286588263835 40.65962210778778, -73.96298444765885 40.65196590332087))",POINT (-73.95789864902865 40.65574871136731),-73.95789864902865,40.65574871136731,96
303,"POLYGON ((-73.96286588263835 40.65962210778778, -73.95281227519571 40.65953136135425, -73.9526925153508 40.66718753097552, -73.9627472720523 40.667278301784016, -73.96286588263835 40.65962210778778))",POINT (-73.9577794867057 40.66340489843236),-73.9577794867057,40.66340489843236,97
304,"POLYGON ((-73.9627472720523 40.667278301784016, -73.9526925153508 40.66718753097552, -73.95257270947904 40.67484369012007, -73.9626286158809 40.67493448530902, -73.9627472720523 40.667278301784016))",POINT (-73.9576602785866 40.671061075023715),-73.9576602785866,40.671061075023715,98
305,"POLYGON ((-73.9626286158809 40.67493448530902, -73.95257270947904 40.67484369012007, -73.95245285756037 40.68249983878736, -73.96250991410433 40.682590658362265, -73.9626286158809 40.67493448530902))",POINT (-73.9575410246514 40.678717241140816),-73.9575410246514,40.678717241140816,99
306,"POLYGON ((-73.96250991410433 40.682590658362265, -73.95245285756037 40.68249983878736, -73.95233295957479 40.69015597697682, -73.96239116670273 40.6902468209432, -73.96250991410433 40.682590658362265))",POINT (-73.95742172488023 40.68637339678314),-73.95742172488023,40.68637339678314,100
307,"POLYGON ((-73.96239116670273 40.6902468209432, -73.95233295957479 40.69015597697682, -73.95221301550222 40.69781210468794, -73.96227237365623 40.69790297305133, -73.96239116670273 40.6902468209432))",POINT (-73.95730237925314 40.694029541950165),-73.95730237925314,40.694029541950165,101
308,"POLYGON ((-73.96227237365623 40.69790297305133, -73.95221301550222 40.69781210468794, -73.95209302532261 40.70546822192017, -73.962153534945 40.705559114686075, -73.96227237365623 40.69790297305133))",POINT (-73.95718298775006 40.70168567664131),-73.95718298775006,40.70168567664131,102
